OBJECTID;CODIGO;TIPO_CONST;TIPO_DOMIN;NUMERO_PIS;IDENTIFICA;GRIDCODE;Area_ha;Amenaza;Grado;Escenario;Escala
49;544980103000002800015500000005;CONVENCIONAL;PRIVADO;1;A;3;0,00183943000;Alta;3;Avenida Torrencial;1:2.000
50;544980103000002800015500000004;CONVENCIONAL;PRIVADO;1;A;3;0,00083418700;Alta;3;Avenida Torrencial;1:2.000
51;544980103000002800015500000003;CONVENCIONAL;PRIVADO;1;A;3;0,00221350000;Alta;3;Avenida Torrencial;1:2.000
52;544980103000002800015500000002;CONVENCIONAL;PRIVADO;1;A;3;0,00223423000;Alta;3;Avenida Torrencial;1:2.000
53;544980101000002180001500000001;CONVENCIONAL;PRIVADO;1;A;3;0,00394789000;Alta;3;Avenida Torrencial;1:2.000
54;544980101000002180001500000002;CONVENCIONAL;PRIVADO;1;A;3;0,00296046000;Alta;3;Avenida Torrencial;1:2.000
55;544980101000002180001500000004;CONVENCIONAL;PRIVADO;1;A;3;0,00688366000;Alta;3;Avenida Torrencial;1:2.000
56;544980101000002180001500000003;CONVENCIONAL;PRIVADO;1;A;3;0,00321622000;Alta;3;Avenida Torrencial;1:2.000
57;544980101000001950001500000001;CONVENCIONAL;PRIVADO;1;A;3;0,00362147000;Alta;3;Avenida Torrencial;1:2.000
58;544980101000001950001000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00097216400;Alta;3;Avenida Torrencial;1:2.000
59;544980101000001910029000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00230362000;Alta;3;Avenida Torrencial;1:2.000
60;544980101000001880015000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00000093340;Alta;3;Avenida Torrencial;1:2.000
61;544980101000001880001500000001;CONVENCIONAL;PRIVADO;1;A;3;0,00604014000;Alta;3;Avenida Torrencial;1:2.000
62;544980101000001860004000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00023719200;Alta;3;Avenida Torrencial;1:2.000
63;544980101000001850001000000000;CONVENCIONAL;PRIVADO;2;A;3;0,01053020000;Alta;3;Avenida Torrencial;1:2.000
64;544980101000001850003000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00654198000;Alta;3;Avenida Torrencial;1:2.000
65;544980101000001850004000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00899065000;Alta;3;Avenida Torrencial;1:2.000
66;544980101000001850003000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00432918000;Alta;3;Avenida Torrencial;1:2.000
67;544980101000001850004000000000;CONVENCIONAL;PRIVADO;1;B;3;0,00183001000;Alta;3;Avenida Torrencial;1:2.000
68;544980101000001850004000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00061474100;Alta;3;Avenida Torrencial;1:2.000
69;544980101000001850005000000000;CONVENCIONAL;PRIVADO;1;A;3;0,01133170000;Alta;3;Avenida Torrencial;1:2.000
70;544980101000001830001000000000;CONVENCIONAL;PRIVADO;1;A;3;0,00854525000;Alta;3;Avenida Torrencial;1:2.000
